cosmic_id,afatinib,cisplatin,dabrafenib,olaparib,palbociclib,trametinib,vismodegib
1240121,-1.6685750000000001,-2.5877055,-4.309113,-3.6165884999999998,-2.602259,-0,-3.4897395
1240122,-0,-1.8185214999999997,-2.4987989999999995,-3.3028435,-2.028053,-0.6410359999999997,-2.2627394999999995
1240123,-0.8609410000000004,-3.2121705000000005,-1.8839080000000004,-2.2248034999999997,-0,-4.18909,-1.2763825
1240124,-3.062531000000001,-7.6464555,-3.6108990000000003,-4.9481955,-5.498519,-0,-5.6273775
1240125,-6.322758,-6.457489499999999,-0,-7.2913435,-5.961939,-2.923078,-5.7917685
1240127,-1.1532335000000002,-0,-1.2534915000000004,-0.180647,-2.5759224999999994,-2.7598215,-0.6637869999999997
1240128,-7.5001120000000006,-6.0637895,-0,-6.7511595,-4.12754,-1.997914999999999,-5.6404914999999995
1240129,-0,-1.1463794999999997,-1.0085219999999997,-1.1698544999999991,-2.730597999999999,-0.36948499999999956,-0.0957274999999993
1240130,-8.573848000000002,-6.229974500000001,-0,-9.3748205,-8.469376,-1.8791399999999996,-6.536652500000001
1240131,-2.1095870000000008,-2.950794,-2.4232270000000002,-4.7878225,-0,-4.213216,-2.950794
1240132,-0.4347315000000007,-0.6669450000000006,-1.1825735000000002,-1.024266,-0.37502250000000026,-1.3043385000000003,-0
1240134,-1.7398510000000003,-0.48767450000000023,-0.08548799999999979,-1.8022814999999999,-0,-0.765405,-1.1420505000000003
1240135,-0.831601,-0,-0.8386849999999999,-1.0734385,-0,-0.081627,-0
1240136,-1.3512570000000004,-0,-1.2705060000000001,-0.1983204999999999,-0,-3.479386,-0
1240137,-2.495228000000001,-1.114486,-1.1994870000000002,-1.3658174999999997,-1.114486,-0,-1.114486
1240138,-1.7147620000000008,-0.6739535000000001,-0,-0.32577849999999975,-1.352133,-0.7383240000000001,-1.1157875000000002
1240139,-0.2614880000000004,-2.0658635,-1.955181,-3.1186285,-0.6829670000000001,-0,-3.2777244999999997
1240140,-0,-6.5461205,-7.344552,-6.8256464999999995,-4.786899999999999,-1.4560259999999996,-6.535029499999999
1240141,-0.06768700000000027,-1.1019834999999998,-2.06099,-2.4427995,-1.377144,-0,-2.5979484999999998
1240142,-0.40084100000000045,-1.7204455,-2.8837129999999993,-1.3356754999999996,-0,-0.5997079999999999,-2.4883314999999993
1240143,-5.353675,-6.9374535,-5.424536,-6.8829755,-7.018561999999999,-0,-5.806964499999999
1240145,-4.048029000000001,-1.9224815000000004,-4.260161,-2.5107545,-5.00175,-0,-2.3776715000000004
1240146,-0,-6.5420735,-8.06036,-7.222345,-6.90151,-8.230342,-7.3279765
1240147,-3.6100220000000003,-3.5159005,-2.849703,-4.7166785,-5.072054,-0,-3.3713645
1240150,-1.1573490000000008,-0.7287224999999999,-1.3063159999999998,-1.3775114999999998,-0,-0.8327680000000001,-0.10852349999999955
1240151,-2.3375460000000006,-1.0089805,-1.9393419999999997,-1.1667564999999998,-0.4428939999999999,-0,-1.5236974999999997
1240153,-9.042558,-7.5160245,-0,-8.6883275,-7.029458,-2.0837649999999996,-8.3133735
1240154,-5.886455,-5.1772355,-0,-5.2424835,-4.961318,-1.4415479999999992,-4.9496255
1240159,-2.4485365000000003,-0,-2.0361435000000006,-0.18846399999999952,-1.3445105,-2.9209055,-1.8094249999999998
1240160,-2.832997,-2.5826275,-1.4241599999999996,-2.4440524999999997,-3.56825,-0,-2.7243314999999995
1240161,-3.2318740000000004,-2.0162675000000005,-3.2318740000000004,-3.2318740000000004,-0,-3.2318740000000004,-2.3762625
1240162,-0,-3.4357114999999996,-2.8577669999999995,-4.4863064999999995,-2.1544939999999997,-1.0624369999999996,-3.4652554999999996
1240166,-1.4594885000000004,-0,-1.4213394999999998,-0.19538399999999978,-1.4339214999999998,-2.4967924999999997,-0.6142879999999997
1240167,-0.7729200000000005,-2.2376655000000003,-2.993936,-2.3935735,-3.5623130000000005,-0,-3.4644835000000005
1240168,-0.8398845000000001,-0,-1.0321544999999999,-0.8714539999999995,-0.10026549999999967,-1.9368444999999999,-0.47643399999999936
1240169,-2.0255960000000006,-2.2855525,-2.516799,-0.8934224999999998,-1.6114410000000001,-0,-2.5748065
1240170,-2.069213500000001,-1.2524580000000003,-1.0314925000000001,-0.692202,-1.2966825000000002,-0.33406950000000024,-0
1240172,-1.5948255000000005,-0.5602110000000002,-2.6677014999999997,-0,-3.6268075,-1.8078705000000002,-2.9648630000000002
1240173,-5.795566000000001,-6.0082985,-0,-7.4322425,-6.358096000000001,-1.186312000000001,-5.421032500000001
1240174,-0,-1.9265359999999996,-2.7156659999999997,-2.1802384999999993,-1.9265359999999996,-1.4010769999999997,-1.9265359999999996
1240178,-1.7168120000000002,-1.21146,-0.6379729999999999,-1.4600064999999998,-1.21146,-0,-1.21146
1240179,-1.1036165000000007,-0.49608400000000064,-1.7464135,-0,-2.9823615000000006,-1.9067035000000003,-0.8130880000000005
1240181,-2.1295615,-1.8633410000000001,-2.1270884999999997,-2.1824589999999993,-3.1597714999999997,-4.0702774999999995,-0
1240182,-1.478263500000001,-3.4338030000000006,-2.7586405000000007,-0,-4.0387235,-3.8535415000000004,-2.128746
1240183,-0.28757100000000047,-2.1074795,-2.1915509999999996,-1.0952144999999998,-1.715198,-0,-1.7557775
1240184,-5.471420999999999,-4.393599999999999,-2.5084589999999993,-4.176019499999999,-4.393599999999999,-0,-4.393599999999999
1240185,-0.6865820000000002,-1.0939865,-2.2321809999999997,-1.3916555,-1.416567,-0,-1.8625925
1240186,-1.9457140000000006,-0.5798899999999998,-0,-2.0265084999999994,-0.5798899999999998,-4.099586,-0.5798899999999998
1240187,-1.5358850000000004,-0.8310235000000001,-1.7310000000000003,-1.2362834999999999,-0.3613810000000002,-0,-0.2687504999999999
1240189,-0.8338835000000007,-1.269044,-1.4886165,-0,-0.9884485000000001,-2.1952085,-0.6053430000000004
1240190,-3.768414000000001,-3.3977855,-2.884775,-2.7087494999999997,-0.9570190000000001,-0,-3.3408635
1240191,-3.167619,-2.4010465,-0,-0.8367134999999999,-3.4748349999999997,-4.088626,-2.8385015000000005
1240192,-0.3475645000000007,-0.5645880000000001,-0.6299105000000003,-1.2567149999999998,-0.8333425000000001,-1.9465675,-0
1240193,-0.5763985000000007,-1.7118140000000004,-0.6902015000000006,-0.35537300000000016,-1.9309495000000003,-2.7883695,-0
1240196,-0.056841000000000586,-2.8796145000000006,-1.5987639999999999,-0.8847464999999997,-0,-1.9289100000000001,-1.9893575000000003
1240197,-7.000821,-8.462144499999999,-0,-8.7995805,-8.677399,-1.7211619999999996,-8.290701499999999
1240198,-0,-1.9415774999999997,-2.981197999999999,-2.320802499999999,-4.067685999999999,-1.7731679999999994,-2.1697384999999993
1240199,-0.9891880000000004,-1.0500214999999997,-0.5377390000000002,-1.2286874999999995,-0.3549930000000001,-0,-0.6531295000000004
1240200,-0,-7.6561205,-7.619584,-5.6304324999999995,-7.224901999999999,-3.0042979999999995,-6.5626834999999994
1240201,-3.081963,-5.4141034999999995,-2.5914269999999995,-2.7582554999999993,-3.5460049999999996,-0,-3.9495554999999993
1240202,-0,-8.0407945,-7.1780159999999995,-6.2031434999999995,-6.4004199999999996,-7.548285,-6.9019094999999995
1240204,-0.9279760000000006,-4.5486415000000004,-3.3884170000000005,-3.1750095,-1.760602,-0,-2.3415545
1240205,-1.5606200000000001,-2.389728,-2.480365,-2.6828454999999996,-2.389728,-0,-2.389728
1240206,-0,-1.0326155,-4.023209,-2.9734344999999993,-3.3023979999999997,-3.7289009999999996,-2.2941004999999994
1240207,-1.0847420000000003,-4.1966275,-3.8487050000000003,-3.6150564999999997,-3.5450369999999998,-0,-3.8593235
1240208,-6.325481,-5.390359999999999,-3.3747699999999994,-4.342591499999999,-5.390359999999999,-0,-5.390359999999999
1240209,-1.1986370000000004,-1.091457,-2.350855,-0.5622744999999998,-1.091457,-0,-1.091457
1240210,-0.7745465000000005,-0.8107600000000001,-1.5974235,-0.3909709999999995,-1.0573905,-2.1760504999999997,-0
1240212,-1.8265085,-0,-1.6118625,-0.7546529999999998,-4.538064499999999,-2.3737725,-2.62593
1240215,-1.2308220000000003,-1.7399225,-2.3211039999999996,-1.7363094999999995,-0,-1.5316929999999997,-3.1415274999999996
1240216,-0.29818950000000033,-0,-0.2814194999999997,-0.7824829999999996,-3.0753414999999995,-0.07829049999999982,-0.8418199999999993
1240217,-0,-0.04104699999999939,-0.3311659999999992,-0.07589049999999897,-0.04104699999999939,-0.15305399999999936,-0.04104699999999939
1240218,-1.5529175,-0,-1.4146684999999999,-1.758117,-0.2485504999999999,-2.1413694999999997,-1.0279319999999994
1240219,-3.9103910000000006,-2.9412715,-2.5102330000000004,-3.4932105,-1.572121,-0,-4.1553065
1240221,-1.9838855000000004,-2.3614155,-1.7177995,-0,-2.5127105,-4.4292415,-2.3614155
1240222,-1.5425655000000003,-0,-2.7938264999999998,-1.4638659999999994,-1.6338194999999998,-1.1878724999999997,-1.7106319999999995
1240223,-3.589201000000001,-2.6531965000000004,-2.48739,-3.8170744999999995,-0,-2.747703,-2.6775875000000005
1240226,-5.830672000000001,-4.5580435,-0,-5.6192725,-4.533723,-3.2469140000000003,-4.2822385
1247871,-1.4601455,-0.19226699999999997,-1.4601454999999999,-1.4601454999999997,-0.9833894999999999,-1.4601454999999999,-0
1247873,-0,-8.523754499999999,-7.171034,-6.985305499999999,-7.591381999999999,-6.867496,-7.8527175
1287381,-1.0259375000000002,-0,-1.0259375,-1.0259374999999997,-0.3854804999999999,-1.0259375,-1.9689989999999997
1287706,-7.101044000000001,-6.2312455,-0,-8.4142565,-6.777395,-1.9738609999999994,-6.0352855000000005
1290455,-5.126182000000001,-5.0132925,-3.5673490000000005,-5.3231865,-5.790465,-0,-4.5610085
1290722,-5.48329,-3.6230425,-3.100082,-4.4108745,-3.915095,-0,-4.5830375
1290724,-1.5314770000000006,-0.6803345000000002,-1.0721730000000003,-0.8979404999999997,-0,-0.9373760000000001,-1.3725005000000001
1290730,-0.7761470000000004,-2.0094595,-1.72566,-1.9147694999999998,-0.44906599999999974,-0,-2.3756495
1290767,-2.356183,-4.010386499999999,-1.093673,-2.3577204999999997,-3.981191,-0,-3.9258215
1290768,-2.303866,-1.1565225,-0,-1.9765634999999993,-0.6029689999999999,-2.134829,-2.4019265
1290769,-6.246158,-5.7929105,-3.9378539999999997,-5.8302464999999994,-4.588832999999999,-0,-3.7170644999999998
1290771,-6.788576000000001,-6.9828025,-5.283564,-6.8564345,-6.403275,-0,-5.9490925
1290795,-2.774274000000001,-0.08256450000000015,-2.7706490000000006,-0.9018024999999998,-0,-1.783629,-1.2267435000000002
