V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,cosmic_id
-0.0520619816581526,0.207325884945083,0.21751237640956,-0.204122208853245,0.151115259983262,0.0391792911418968,0.246665401981159,-0.00564442059250841,-0.25450421618621,0.265920741727286,0.0849048917027141,0.379057093085047,0.00453895410753349,-0.417919906115564,0.0937377588878747,-0.133034691707374,-0.277382139459115,0.250927515281356,-0.952832720813618,1.76806792337762,1287381
0.189997685467148,0.0425768649436926,0.0233472145372856,0.230065018142661,0.0408684916091486,-0.0624991843157247,-0.218876074219271,0.204891737430155,0.286190223128314,-0.447578255075352,-0.134063102931365,-0.117245979542366,-0.0590855134559711,0.078945359343309,-0.0425515271069151,-1.30449028654608,0.0879981270427372,0.913746992934218,1.35847987757163,2.00881132405084,924100
0.0361701363854944,0.107551190600919,0.174619420178231,0.0684597413131665,0.0326351178304933,0.0344688312989606,-0.119811292980184,0.0370680751590801,-0.0311131716529463,-0.275935569528613,-0.0529009987352643,0.264556414125183,-0.000696446178922311,0.041606247518558,0.231727479414195,-1.78739709505883,-0.0699296345040642,1.24050829601037,0.806859601768836,1.7743504624529,910924
-0.353963810178194,0.1376763832363,0.187628611425138,-0.128154778266184,0.0564984577444912,-0.078205906354485,0.478392087994466,0.385831118872871,-0.242471797970528,0.699445934383744,0.0156484332446098,0.199091480169266,0.104460244673141,-0.761254195827658,-0.114726014386419,1.60144757825331,-0.245325315812411,-1.39051683567516,-1.83029352138213,2.10574764321013,687561
-0.601460891712373,-0.42369895466987,0.15072301982294,-0.0957227685146763,0.386927936709439,-0.273576507205463,-0.100785101994547,0.630729065111556,0.294487865032835,0.0950210593771753,-0.0342203556108182,1.23130210835655,-0.0667958321557671,0.272580569015751,0.235356125564779,2.5235985188896,-0.340024086730799,-3.46599910553969,-1.97372874982655,1.68604139142215,1287706
-0.12274794391931,0.358030337758894,0.300738634506849,-0.188561484839378,0.20131075537676,0.0431297180434851,0.235380174150041,0.205421338620751,-0.360237950911166,0.365366965282061,0.124824613743427,0.182031308606093,0.0324421065467984,-0.762762806724254,0.249900141474348,-0.618935483595529,-0.26582306774237,1.33478463206734,-1.14512665481903,2.09514157776043,687452
-0.260149157175435,0.165182168645516,0.233103752723958,-0.161366096906328,0.107825901775153,0.0138090064613603,0.43588163495457,0.254389627836676,-0.291422819787069,0.663502670581244,0.0622360209812021,0.287990899322293,0.0987897462600292,-0.838142444233969,-0.0386969367340267,1.15533579845963,-0.262863063273479,-0.86561381434916,-1.82913062698185,2.05172096796944,906798
-0.110213648854656,0.361777604143526,0.298908751158023,-0.194323373567531,0.216548499227818,0.0391245701464265,0.229617404768056,0.197631049634928,-0.351844234356561,0.364781321783628,0.141949431433935,0.183876915768815,0.0354308784939683,-0.745706836452164,0.253021204665391,-0.549338358164923,-0.292039058292865,1.26547055160295,-1.18263633694563,2.09699105125464,906797
0.59913043898339,-0.511384216739054,-0.499968307997983,0.231258179995234,-0.605709331910944,0.124811067784703,-0.277750676237844,-0.825619293323373,-0.330671838311622,-0.467202325411245,0.0394432769690811,-0.392387555644433,-0.631128333782674,1.26352401151022,-0.127893667086027,-0.748803062522049,0.687380553911751,0.400566316687651,0.856607445043475,-9.60503016231479,906800
-0.173840087335342,0.472358757087244,0.342478114723645,-0.196317509892157,0.139890660671048,0.0354816105018387,0.124749947619804,0.0189701332555903,-0.204862364831475,0.388214049083047,0.0974765733657932,0.133977832495824,0.162995589286333,-0.28994001343112,-0.102833329883774,1.36459038888071,-0.309408284743799,-0.501413344141213,-1.09545681611638,1.9079138012024,905947
-0.299953154716159,0.311258033011531,0.255710643246999,-0.123478747069406,0.158800248800107,-0.084645782137491,0.244740019416534,0.35407139761687,-0.147282883650316,0.537232805911172,0.0605079615546795,0.026173218894025,0.117206177741324,-0.647788551818527,-0.119314677688988,1.33591356576868,-0.195288843825881,-0.852033544220191,-1.19513980648442,2.28125685127523,687562
-0.304929310410154,0.283751049945662,0.271023865965675,-0.120747670133381,0.114395407406301,-0.021566132319408,0.355562233150323,0.35685125301714,-0.239807628370493,0.664622047278143,0.0822130571175809,0.103213191059816,0.129318719241533,-0.852444787006195,-0.110350797416096,1.28573629600905,-0.216513142508306,-0.650863766930625,-1.70171822561483,2.21199023858116,906795
-0.28963958279715,0.412245097133343,0.285798132591388,-0.122710481482272,0.136774110509704,-0.0714842456669547,0.302788133648656,0.353579008628203,-0.204265990206647,0.617877421897743,0.0623506318594948,-0.127262537532876,0.171391381343575,-0.809405494912128,-0.220149657676027,1.25436385454554,-0.191637291882315,-0.508873778978332,-1.30315738127501,2.28344849066972,924102
-0.541093675126068,-0.288601082309273,0.163267178236904,-0.11783251855157,0.393442110181142,-0.227550573807592,-0.0172163717302607,0.549596273610579,0.154150075754184,0.204383757288574,-0.0316054625878552,1.10486353371853,0.00345627729716846,-0.0212641426759891,0.179952811225801,2.46000661427215,-0.287623048676872,-3.25290456447846,-2.16168826903932,1.78524896395789,910921
0.00193488540007306,0.134574738593224,0.0424595549046098,0.0266059398884051,0.0586262776477988,-0.100470075310451,0.141047673219091,0.165824701036022,0.28596085623407,0.101272531166874,-0.236791373901163,-0.121492854011581,0.169342573612057,-0.0769676440162071,-0.273704601000553,0.784669058269535,-0.0579736406791686,-0.971895291561784,0.592420792842643,1.88450008346055,910784
-0.6791152086586,-0.302727453005368,0.127543937486068,0.00111058129179711,0.471632611166948,-0.172879400951949,-0.0989929853178239,0.507648762670839,0.188507069654848,0.0507914374962251,0.0611855073134653,1.21075724109734,-0.109818947974685,0.0956486073312997,0.160611167397542,2.56072800898156,-0.183654026324673,-3.45528679201719,-2.22808210447153,1.78309601226083,906792
0.0498788647229004,0.11898051647229,0.181378084431346,-0.0439786897333953,0.141333478361393,0.0625649740130018,0.114723406890692,0.547786949448442,-0.247848067458884,0.192865948433691,0.183261815065527,-0.0448004115268301,-0.127453699896066,-1.07119892029572,0.282732584909727,-1.20901447180899,0.0377380150669344,2.27373540997509,-0.897193444388411,2.33291303328873,906794
