,Unnamed: 0,RMS,ParamNoise,BootRMS,Dropout,LinFullPost,NeuralLinear,BBB,NeuralLinear2,MultitaskGP,BBAlphaDiv,Clinical Guideline ,Uniform Sampling,Uniform Sampling 2
360,360,5.0,2.0,2.0,2.0,2.0,5.0,6.0,5.0,2.0,4.0,1.0,4.0,3.0
361,361,5.0,5.0,0.0,0.0,4.0,5.0,3.0,5.0,0.0,4.0,1.0,1.0,1.0
362,362,2.0,2.0,2.0,4.0,5.0,1.0,6.0,0.0,2.0,1.0,3.0,4.0,5.0
363,363,0.0,2.0,2.0,2.0,0.0,0.0,2.0,6.0,2.0,3.0,1.0,5.0,4.0
364,364,3.0,6.0,2.0,3.0,5.0,3.0,1.0,4.0,3.0,4.0,1.0,0.0,0.0
365,365,5.0,4.0,2.0,2.0,5.0,5.0,6.0,5.0,2.0,0.0,1.0,5.0,0.0
366,366,5.0,2.0,3.0,5.0,3.0,6.0,3.0,3.0,2.0,3.0,1.0,2.0,0.0
367,367,2.0,5.0,5.0,6.0,5.0,2.0,2.0,4.0,2.0,1.0,5.0,1.0,4.0
368,368,5.0,4.0,2.0,0.0,0.0,0.0,3.0,5.0,4.0,6.0,1.0,4.0,6.0
369,369,2.0,2.0,2.0,2.0,2.0,4.0,2.0,6.0,2.0,4.0,1.0,6.0,0.0
370,370,0.0,0.0,0.0,0.0,4.0,5.0,0.0,4.0,1.0,2.0,0.0,3.0,1.0
371,371,2.0,2.0,2.0,2.0,3.0,0.0,6.0,1.0,3.0,2.0,3.0,1.0,4.0
372,372,5.0,2.0,1.0,6.0,0.0,0.0,3.0,4.0,4.0,0.0,1.0,0.0,4.0
373,373,5.0,5.0,1.0,1.0,4.0,0.0,3.0,2.0,3.0,2.0,1.0,0.0,2.0
374,374,2.0,2.0,2.0,3.0,6.0,2.0,6.0,1.0,3.0,3.0,6.0,0.0,4.0
375,375,2.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,4.0,6.0,1.0,0.0,2.0
376,376,5.0,5.0,5.0,5.0,2.0,1.0,3.0,4.0,1.0,3.0,1.0,0.0,5.0
377,377,0.0,4.0,0.0,0.0,0.0,6.0,2.0,0.0,3.0,0.0,1.0,6.0,0.0
378,378,2.0,5.0,3.0,5.0,4.0,6.0,1.0,5.0,1.0,2.0,0.0,2.0,0.0
379,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,1.0
380,380,0.0,2.0,2.0,2.0,3.0,6.0,2.0,1.0,3.0,2.0,1.0,4.0,3.0
381,381,0.0,4.0,0.0,0.0,0.0,4.0,2.0,5.0,0.0,0.0,4.0,4.0,0.0
382,382,5.0,5.0,5.0,3.0,0.0,5.0,2.0,6.0,4.0,3.0,1.0,2.0,0.0
383,383,5.0,5.0,0.0,0.0,4.0,0.0,3.0,0.0,2.0,4.0,1.0,0.0,5.0
384,384,1.0,6.0,2.0,1.0,2.0,6.0,2.0,1.0,5.0,2.0,1.0,1.0,0.0
385,385,1.0,1.0,2.0,3.0,6.0,6.0,6.0,2.0,1.0,6.0,5.0,1.0,0.0
386,386,2.0,2.0,5.0,5.0,6.0,5.0,2.0,0.0,5.0,2.0,5.0,0.0,2.0
387,387,6.0,2.0,1.0,1.0,0.0,1.0,6.0,6.0,1.0,6.0,4.0,4.0,0.0
388,388,5.0,2.0,2.0,2.0,5.0,4.0,6.0,5.0,6.0,2.0,1.0,1.0,2.0
389,389,0.0,0.0,0.0,0.0,5.0,0.0,3.0,4.0,3.0,0.0,3.0,1.0,0.0
390,390,5.0,2.0,2.0,2.0,5.0,2.0,6.0,0.0,3.0,6.0,1.0,2.0,5.0
391,391,5.0,5.0,2.0,0.0,6.0,5.0,4.0,5.0,5.0,2.0,1.0,4.0,2.0
392,392,5.0,6.0,2.0,6.0,2.0,3.0,2.0,6.0,2.0,0.0,1.0,0.0,4.0
393,393,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,6.0,4.0,4.0,1.0
394,394,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,2.0
395,395,0.0,0.0,0.0,0.0,5.0,6.0,2.0,3.0,3.0,0.0,4.0,2.0,2.0
396,396,0.0,0.0,0.0,0.0,0.0,6.0,2.0,6.0,1.0,1.0,4.0,5.0,6.0
397,397,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,3.0,5.0,0.0,6.0,2.0
398,398,0.0,0.0,0.0,0.0,4.0,5.0,2.0,5.0,0.0,0.0,4.0,6.0,4.0
399,399,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,6.0
400,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,4.0,6.0,0.0
401,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,4.0,2.0,4.0
402,402,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,5.0,5.0
403,403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,4.0,0.0,4.0,6.0
404,404,6.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,6.0,1.0,5.0,5.0
405,405,2.0,1.0,2.0,3.0,1.0,2.0,6.0,6.0,2.0,6.0,1.0,4.0,5.0
406,406,6.0,2.0,2.0,6.0,4.0,3.0,2.0,3.0,1.0,1.0,4.0,2.0,4.0
407,407,6.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,6.0
408,408,5.0,2.0,2.0,2.0,5.0,6.0,2.0,5.0,0.0,5.0,1.0,0.0,5.0
409,409,3.0,6.0,2.0,6.0,6.0,5.0,0.0,4.0,3.0,1.0,1.0,2.0,1.0
410,410,2.0,0.0,3.0,1.0,1.0,5.0,3.0,4.0,4.0,0.0,3.0,5.0,4.0
411,411,5.0,2.0,1.0,3.0,5.0,5.0,6.0,4.0,4.0,6.0,1.0,0.0,6.0
412,412,2.0,5.0,5.0,5.0,2.0,2.0,1.0,4.0,5.0,5.0,1.0,3.0,0.0
413,413,2.0,5.0,5.0,5.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,1.0,6.0
414,414,3.0,1.0,2.0,1.0,1.0,6.0,0.0,0.0,3.0,2.0,1.0,4.0,2.0
415,415,5.0,5.0,5.0,0.0,4.0,5.0,2.0,6.0,5.0,5.0,1.0,5.0,6.0
416,416,5.0,2.0,1.0,3.0,5.0,1.0,1.0,5.0,3.0,0.0,1.0,4.0,2.0
417,417,2.0,0.0,2.0,1.0,4.0,1.0,3.0,1.0,4.0,0.0,1.0,0.0,6.0
418,418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,2.0,2.0
419,419,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,1.0,1.0,6.0,5.0
420,420,4.0,2.0,2.0,2.0,2.0,6.0,2.0,6.0,1.0,1.0,1.0,6.0,5.0
421,421,1.0,5.0,5.0,5.0,3.0,2.0,2.0,5.0,5.0,4.0,5.0,1.0,2.0
422,422,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,3.0
423,423,3.0,4.0,2.0,3.0,6.0,6.0,0.0,4.0,3.0,6.0,1.0,6.0,0.0
424,424,3.0,5.0,1.0,3.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,2.0,5.0
425,425,2.0,2.0,2.0,5.0,0.0,2.0,2.0,5.0,1.0,5.0,0.0,1.0,0.0
426,426,2.0,5.0,3.0,5.0,4.0,6.0,2.0,3.0,4.0,6.0,0.0,4.0,3.0
427,427,0.0,0.0,3.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,3.0,1.0,4.0
428,428,3.0,2.0,1.0,5.0,5.0,6.0,3.0,5.0,2.0,6.0,1.0,2.0,1.0
429,429,3.0,2.0,1.0,3.0,5.0,6.0,3.0,4.0,4.0,4.0,1.0,4.0,4.0
430,430,4.0,2.0,2.0,2.0,6.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,3.0
431,431,5.0,6.0,2.0,3.0,5.0,6.0,0.0,5.0,4.0,5.0,6.0,4.0,3.0
432,432,2.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,5.0,0.0,2.0,6.0,3.0
433,433,2.0,2.0,2.0,3.0,6.0,3.0,6.0,6.0,4.0,3.0,1.0,4.0,4.0
434,434,5.0,5.0,0.0,0.0,5.0,5.0,3.0,5.0,2.0,6.0,1.0,2.0,2.0
435,435,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,3.0
436,436,0.0,0.0,3.0,5.0,4.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,3.0
437,437,5.0,5.0,2.0,5.0,3.0,2.0,2.0,1.0,2.0,4.0,6.0,0.0,0.0
438,438,5.0,6.0,0.0,5.0,5.0,6.0,3.0,2.0,0.0,5.0,5.0,3.0,0.0
439,439,3.0,2.0,2.0,1.0,1.0,6.0,0.0,0.0,3.0,2.0,1.0,3.0,4.0
440,440,3.0,1.0,2.0,1.0,1.0,5.0,0.0,6.0,6.0,1.0,1.0,2.0,3.0
441,441,3.0,1.0,2.0,1.0,6.0,3.0,0.0,6.0,6.0,4.0,1.0,5.0,5.0
442,442,3.0,1.0,2.0,1.0,6.0,6.0,0.0,2.0,1.0,5.0,1.0,0.0,6.0
443,443,5.0,5.0,0.0,0.0,4.0,5.0,1.0,6.0,5.0,5.0,1.0,0.0,2.0
444,444,5.0,5.0,5.0,5.0,3.0,5.0,0.0,0.0,5.0,5.0,1.0,5.0,6.0
445,445,5.0,2.0,5.0,3.0,5.0,5.0,6.0,0.0,4.0,6.0,1.0,6.0,5.0
446,446,5.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,6.0
447,447,2.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,5.0,5.0,2.0,4.0,0.0
448,448,6.0,6.0,2.0,3.0,3.0,1.0,2.0,6.0,1.0,0.0,1.0,5.0,2.0
449,449,6.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,6.0,1.0,1.0,1.0
450,450,6.0,0.0,4.0,0.0,6.0,1.0,6.0,6.0,3.0,5.0,1.0,0.0,1.0
451,451,5.0,1.0,0.0,6.0,6.0,3.0,6.0,6.0,3.0,0.0,5.0,4.0,5.0
452,452,1.0,5.0,5.0,5.0,0.0,5.0,6.0,5.0,5.0,3.0,5.0,3.0,2.0
453,453,6.0,0.0,4.0,5.0,3.0,3.0,6.0,3.0,3.0,5.0,4.0,1.0,3.0
454,454,6.0,0.0,0.0,0.0,1.0,3.0,6.0,3.0,3.0,1.0,4.0,4.0,5.0
455,455,6.0,0.0,0.0,3.0,1.0,6.0,6.0,4.0,3.0,0.0,4.0,5.0,0.0
456,456,6.0,3.0,3.0,1.0,6.0,1.0,2.0,3.0,5.0,0.0,3.0,5.0,6.0
457,457,6.0,0.0,4.0,0.0,1.0,6.0,6.0,6.0,3.0,3.0,4.0,2.0,3.0
458,458,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,5.0
459,459,2.0,2.0,2.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,4.0
460,460,5.0,2.0,2.0,2.0,2.0,5.0,2.0,6.0,2.0,6.0,1.0,4.0,3.0
461,461,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,4.0,1.0
462,462,5.0,4.0,6.0,4.0,2.0,3.0,2.0,6.0,5.0,6.0,1.0,2.0,0.0
463,463,2.0,5.0,2.0,5.0,5.0,6.0,2.0,5.0,5.0,0.0,4.0,2.0,4.0
464,464,2.0,5.0,5.0,5.0,5.0,2.0,6.0,5.0,5.0,2.0,1.0,4.0,0.0
465,465,1.0,6.0,2.0,6.0,2.0,3.0,2.0,6.0,5.0,1.0,1.0,4.0,4.0
466,466,2.0,5.0,5.0,5.0,5.0,2.0,6.0,5.0,5.0,5.0,5.0,5.0,2.0
467,467,5.0,5.0,2.0,0.0,4.0,0.0,2.0,2.0,3.0,6.0,1.0,6.0,2.0
468,468,1.0,6.0,2.0,0.0,2.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,3.0
469,469,5.0,6.0,5.0,5.0,2.0,0.0,2.0,0.0,3.0,3.0,5.0,5.0,0.0
470,470,3.0,5.0,3.0,5.0,5.0,6.0,3.0,4.0,2.0,2.0,1.0,2.0,0.0
471,471,6.0,0.0,2.0,0.0,3.0,1.0,6.0,4.0,3.0,0.0,4.0,2.0,4.0
472,472,2.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,4.0,6.0,5.0,1.0,0.0
473,473,6.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,6.0,1.0,6.0,5.0
474,474,5.0,6.0,0.0,0.0,1.0,6.0,1.0,6.0,3.0,1.0,1.0,5.0,5.0
475,475,5.0,4.0,0.0,0.0,0.0,5.0,6.0,0.0,5.0,0.0,1.0,3.0,3.0
476,476,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,5.0,5.0,2.0,5.0
477,477,5.0,5.0,0.0,0.0,4.0,5.0,1.0,6.0,2.0,6.0,1.0,3.0,0.0
478,478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,2.0
479,479,1.0,5.0,3.0,5.0,5.0,2.0,6.0,0.0,5.0,4.0,5.0,2.0,1.0
480,480,5.0,6.0,3.0,0.0,5.0,5.0,2.0,5.0,5.0,4.0,1.0,5.0,0.0
481,481,6.0,2.0,2.0,3.0,6.0,6.0,2.0,2.0,3.0,4.0,1.0,5.0,5.0
482,482,2.0,2.0,2.0,5.0,2.0,6.0,6.0,6.0,0.0,3.0,1.0,5.0,0.0
483,483,2.0,5.0,2.0,5.0,4.0,4.0,6.0,5.0,5.0,4.0,4.0,3.0,1.0
484,484,6.0,6.0,2.0,2.0,2.0,6.0,2.0,2.0,3.0,0.0,1.0,4.0,5.0
485,485,3.0,5.0,3.0,5.0,5.0,6.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0
486,486,3.0,5.0,3.0,5.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,5.0,1.0
487,487,5.0,2.0,2.0,4.0,4.0,6.0,2.0,6.0,2.0,2.0,1.0,3.0,4.0
488,488,5.0,6.0,2.0,2.0,2.0,5.0,2.0,4.0,2.0,2.0,1.0,0.0,1.0
489,489,2.0,2.0,2.0,3.0,2.0,2.0,6.0,6.0,1.0,2.0,1.0,2.0,1.0
490,490,4.0,4.0,2.0,2.0,4.0,4.0,2.0,1.0,4.0,6.0,1.0,0.0,1.0
491,491,4.0,4.0,2.0,2.0,1.0,6.0,2.0,3.0,3.0,6.0,1.0,2.0,3.0
492,492,4.0,2.0,2.0,3.0,4.0,1.0,2.0,4.0,1.0,6.0,0.0,4.0,6.0
493,493,5.0,2.0,6.0,2.0,3.0,5.0,2.0,0.0,2.0,6.0,1.0,6.0,3.0
494,494,3.0,5.0,3.0,3.0,3.0,6.0,3.0,3.0,1.0,0.0,1.0,0.0,5.0
495,495,5.0,4.0,0.0,0.0,3.0,2.0,6.0,6.0,0.0,0.0,1.0,4.0,6.0
496,496,3.0,1.0,2.0,3.0,6.0,6.0,6.0,0.0,1.0,2.0,1.0,5.0,4.0
497,497,5.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,2.0,1.0,2.0,3.0
498,498,5.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,1.0,4.0,5.0
499,499,0.0,5.0,0.0,0.0,4.0,5.0,0.0,5.0,5.0,5.0,4.0,2.0,2.0
500,500,2.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0,1.0,0.0,3.0
501,501,2.0,5.0,2.0,5.0,5.0,2.0,2.0,2.0,5.0,6.0,2.0,3.0,2.0
502,502,4.0,6.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,1.0,0.0,3.0,6.0
