V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,afatinib_x,cisplatin_x,dabrafenib_x,olaparib_x,palbociclib_x,trametinib_x,vismodegib_x,afatinib_y,cisplatin_y,dabrafenib_y,olaparib_y,palbociclib_y,trametinib_y,vismodegib_y
-0.052061982,0.207325885,0.217512376,-0.204122209,0.15111526,0.039179291,0.246665402,-0.005644421,-0.254504216,0.265920742,0.084904892,0.37905709299999996,0.004538954,-0.417919906,0.093737759,-0.13303469199999998,-0.27738213899999997,0.250927515,-0.9528327209999999,1.768067923,0,1,0,0,0,0,0,-1.0259375000000002,-0.0,-1.0259375,-1.0259374999999995,-0.3854804999999999,-1.0259375,-1.968999
0.189997685,0.042576865,0.023347215,0.230065018,0.040868492,-0.062499184000000006,-0.21887607399999998,0.204891737,0.286190223,-0.447578255,-0.13406310300000002,-0.11724598,-0.059085513,0.078945359,-0.042551527,-1.3044902870000001,0.087998127,0.913746993,1.358479878,2.008811324,0,0,0,1,0,0,0,-2.1747890000000005,-2.2134025000000004,-1.574402,-2.2317135,-0.0,-3.615451,-1.7309615000000005
0.036170136,0.10755119099999999,0.17461942,0.06845974099999999,0.032635118,0.034468831,-0.11981129300000001,0.037068075,-0.031113172,-0.27593557,-0.052900999000000004,0.26455641399999996,-0.0006964460000000001,0.041606248,0.231727479,-1.787397095,-0.069929635,1.240508296,0.8068596020000001,1.774350462,0,1,0,0,0,0,0,-1.3059315000000007,-2.0289100000000007,-1.6668425000000004,-0.0,-1.4261605000000002,-0.5089035000000002,-1.2410259999999995
-0.35396381,0.137676383,0.18762861100000003,-0.128154778,0.056498458,-0.07820590599999999,0.478392088,0.385831119,-0.24247179800000002,0.6994459340000001,0.015648433,0.19909148,0.104460245,-0.761254196,-0.114726014,1.6014475780000001,-0.24532531600000002,-1.390516836,-1.830293521,2.105747643,0,1,0,0,0,0,0,-1.8714315000000008,-1.4872470000000004,-1.8226375,-0.0,-2.7978685000000003,-1.8342905000000005,-1.6014959999999998
-0.6014608920000001,-0.423698955,0.15072302,-0.095722769,0.38692793700000006,-0.27357650699999997,-0.10078510199999999,0.630729065,0.294487865,0.095021059,-0.034220356,1.231302108,-0.066795832,0.272580569,0.23535612600000003,2.523598519,-0.34002408700000003,-3.4659991060000004,-1.97372875,1.6860413909999998,0,0,1,0,0,0,0,-7.101044000000001,-6.2312455,-0.0,-8.4142565,-6.777394999999999,-1.9738609999999996,-6.0352855000000005
-0.122747944,0.35803033799999995,0.300738635,-0.188561485,0.201310755,0.043129718,0.235380174,0.20542133899999998,-0.360237951,0.365366965,0.124824614,0.18203130899999997,0.032442107000000005,-0.762762807,0.24990014100000002,-0.618935484,-0.265823068,1.334784632,-1.145126655,2.0951415780000002,1,0,0,0,0,0,0,-0.0,-0.3710884999999997,-1.9328009999999998,-1.1073584999999992,-3.5272479999999997,-2.595187,-1.2575124999999994
-0.260149157,0.16518216900000002,0.233103753,-0.161366097,0.10782590199999999,0.013809006,0.435881635,0.25438962800000003,-0.29142282,0.663502671,0.062236020999999996,0.28799089899999997,0.098789746,-0.838142444,-0.038696937,1.155335798,-0.262863063,-0.865613814,-1.8291306269999998,2.051720968,0,1,0,0,0,0,0,-1.482651500000001,-0.0,-2.3123435000000003,-0.8174099999999997,-2.2188285,-1.2697275,-0.5329009999999998
-0.110213649,0.361777604,0.29890875100000003,-0.194323374,0.21654849899999998,0.03912457,0.229617405,0.19763105,-0.351844234,0.364781322,0.141949431,0.183876916,0.035430878,-0.745706836,0.253021205,-0.549338358,-0.292039058,1.265470552,-1.182636337,2.096991051,0,1,0,0,0,0,0,-0.5483795000000007,-0.6878190000000006,-2.0724715000000007,-0.0,-3.5689565000000005,-1.2296155000000004,-1.656822
0.599130439,-0.511384217,-0.499968308,0.23125818,-0.605709332,0.12481106800000001,-0.27775067600000003,-0.8256192929999999,-0.330671838,-0.467202325,0.039443277,-0.392387556,-0.631128334,1.263524012,-0.127893667,-0.748803063,0.6873805540000001,0.400566317,0.856607445,-9.605030162,0,1,0,0,0,0,0,-3.9199599999999997,-3.1059065,-0.0,-1.8936724999999992,-0.09483899999999944,-5.81818,-2.9970064999999995
-0.173840087,0.472358757,0.342478115,-0.19631751,0.139890661,0.035481611,0.12474994800000001,0.018970133,-0.204862365,0.388214049,0.09747657300000001,0.133977832,0.162995589,-0.289940013,-0.10283333,1.364590389,-0.309408285,-0.501413344,-1.095456816,1.9079138009999999,0,1,0,0,0,0,0,-0.8899260000000007,-1.4170989999999999,-0.974356,-0.7960994999999997,-0.0,-0.7846150000000001,-1.4170989999999999
